Case,C_in,V_in,Area
dp168,7.178957115207681e-07,0.5607204665212502,32.48631637024326
dp169,1.670729521142692e-06,0.38902109007253727,59.3521802382071
dp170,5.709281096870226e-07,0.39856882444025793,40.10220676453768
dp171,1.777273740139267e-06,0.4903971318541945,42.1933196201739
dp172,4.034778184287917e-07,1.9973263067597897,39.67524215719639
dp173,2.261587566002092e-07,0.3841164271151316,27.31366137824015
dp174,8.456451267256143e-07,1.0510369745313979,29.18289411550733
dp175,1.750463563406642e-06,0.6285496549487566,58.33750411976148
dp176,2.744013794455516e-07,0.6416805385642852,59.49952603480092
dp177,5.259169485172243e-07,1.1418037698974108,58.98922310556753
dp178,7.847566976491614e-07,1.3872473924290318,57.56957651862871
dp179,1.912496276508285e-06,0.23540273527564448,28.75512207786172
dp180,5.340010518113326e-07,1.6559985100590975,52.74319233219774
dp181,1.4773573195836e-07,1.8806902548011526,31.92103492677554
dp182,1.110427618683085e-06,0.24291182257887375,58.46443000263368
dp183,2.686905171619615e-07,1.3143104230369147,27.54919193954536
dp184,7.253636943700804e-07,1.0931344269602377,52.33316454432764
dp185,2.319989982353337e-06,0.3249485864108677,33.02503731191013
dp186,1.649098022785695e-06,0.20542415608693762,47.93425607854779
dp187,5.892980957536136e-07,1.8493630818148548,51.40334080317621
dp188,6.450759068024531e-07,1.5403872682807351,45.37750670415672
dp189,1.273196532890647e-06,0.9870802098142426,49.30884338677733
dp190,2.95749153998062e-07,0.30855987605616614,23.82349170245875
dp191,1.514789380362706e-06,0.6469327441392279,47.70813344105557
dp192,3.572375150765024e-06,0.6118863538140669,29.66209090027646
dp193,4.68183743028101e-07,0.4142042589492867,28.331648061347
dp194,1.017062027392043e-06,0.7565652109758745,42.83611192527771
dp195,9.749461315830654e-07,1.7869609763032268,31.23043518926932
dp196,9.834048880414713e-07,1.927910636725525,28.37642916907645
dp197,1.094528515765683e-06,0.7928928737392853,66.94751857785712
dp198,8.143096542184067e-07,1.984599120416237,39.27345531309109
dp199,5.517406116794254e-07,1.4636654985888469,54.14589479144536
dp200,2.226946036919467e-07,1.4500588427725374,45.00047689723442
dp201,4.759466788445271e-07,1.3665324395952223,42.4046622173083
dp202,2.331786979532094e-07,1.938389225343739,33.96225040689868
dp203,2.946001399487675e-08,1.8216088263113193,32.85379728618098
dp204,2.949330417880156e-06,0.4376555189068462,48.19602919586449
dp205,3.384961122501719e-07,0.46010005926343306,48.56617983259087
dp206,7.291433248143888e-07,1.2474525909429712,27.13838573975423
dp207,4.747744375585082e-07,0.5528520553898183,52.87747712436895
dp208,6.607097788346226e-07,1.5089183263921013,55.32079233025431
dp209,3.524025011505218e-07,1.958400337843504,24.21608090752292
dp210,2.689096229588717e-07,1.3742387008737773,30.10305459362895
dp211,2.195041340860955e-06,0.4554246854996702,33.21389758953122
dp212,1.213563337166892e-06,0.6726322704932779,58.05361330248733
dp213,2.662087805074817e-06,0.3449380467134846,64.43543336891311
dp214,1.022418317749474e-07,1.0055556734584112,48.72853136173234
dp215,6.131140244835042e-08,1.3627837995502172,36.26429141236013
dp216,6.066932113628595e-07,0.595893413759137,51.61941673283383
dp217,1.496363454239851e-07,1.8139821938881189,50.38471379542408
dp218,1.197012184859697e-06,0.8791470868757258,32.75906226734732
dp219,5.719912496686875e-07,1.7710748470968205,44.86481451825743
dp220,5.338467516047133e-07,0.9492083927761812,47.64443814328565
dp221,2.664131529312266e-06,0.5371690630212357,34.28488427228611
dp222,8.46990577533611e-07,1.7804045238677595,34.23829500767431
dp223,1.166471544487283e-06,1.0347074433990935,55.1431068735949
dp224,7.800303965222863e-08,0.8634768283635657,48.63687440459288
dp225,2.382432248818836e-07,1.431504924462972,47.33627184399869
dp226,5.389776692734853e-07,1.890684637532483,29.79704993537941
dp227,3.017049997663113e-06,0.7471363923884005,23.2693700062052
dp228,8.707689523805484e-07,0.8431641471354359,54.06683393418606
dp229,1.395841227391873e-06,1.1008929327623305,25.21347555829728
dp230,9.076895952916232e-07,0.6791708115244173,66.00901747018426
dp231,1.180017694949671e-06,1.8815273666680774,24.44346366395596
dp232,1.318825353256804e-06,0.7162733187410106,30.74390288991319
dp233,2.840184187239502e-07,1.9775310605781442,55.8682132360141
dp234,7.409695674442503e-07,1.5684524682849532,34.48116452668766
dp235,1.184934348629047e-07,1.082748892069491,49.95068068196049
dp236,1.066939940819499e-06,1.2350854736890877,43.36402771633618
dp237,7.556360307357156e-07,1.4858673016047756,55.6097576105462
dp238,9.284812307187838e-07,0.9121333543581671,46.86634001894669
dp239,2.223606351640211e-06,0.5720494803443696,28.07834381171548
dp240,5.429543001461108e-07,1.5124412990256761,43.98800317656575
dp241,1.586531854126857e-06,0.7828291903371314,38.9884935532133
dp242,1.591149556726376e-06,0.44456409043789386,56.55881778578301
dp243,2.796025837062347e-06,0.2492747481834971,34.17758869378606
dp244,1.94590020180629e-06,1.1850157842392364,27.7759196752233
dp245,6.360542138991608e-06,0.4116547260505107,23.97387333367555
dp246,7.295399141228402e-07,0.695300205320951,33.62062770663443
dp247,5.848476639123432e-07,1.9140940475705328,56.1012119001252
dp248,1.768479329972233e-06,1.515837792776574,24.80634877855805
dp249,1.168421630275788e-06,1.3923899079049042,34.84057928963293
dp250,4.991421926609039e-07,0.9476390344125163,53.49306353334476
dp251,7.033154348614692e-07,1.9219402699124282,38.0401735030289
dp252,2.849190077686454e-07,1.669050615376679,42.55817766133467
dp253,1.626746064826376e-06,0.5646383910502517,56.38796856983667
dp254,1.411327162633184e-06,0.5847024606621013,35.07792382005983
dp255,3.301416789261907e-06,0.8221220408906791,24.40854381730024
dp256,1.384823754262885e-06,0.40296746256813815,32.01526447619184
dp257,6.3109757138184e-07,0.21947529662204196,28.97829054971135
dp258,5.566487634430729e-07,1.8277278699463675,42.24223540816631
dp259,9.002527474401647e-08,1.6768174254027128,46.19341255145724
dp260,3.203007616820338e-07,0.7510923427487504,38.27434092842361
dp261,1.004139480663375e-06,1.9316552616789766,25.57987388832944
dp262,1.647747780165066e-07,1.7396537631758175,63.15633629284489
dp263,8.770185317945508e-07,0.5268211194971886,33.66756050836013
dp264,4.920724474865066e-07,1.6541188097849107,62.91984414916197
dp265,6.649776866216497e-07,0.8983314770678572,36.12812691294989
dp266,1.965772113067919e-06,0.4746508715515391,40.56833134019856
dp267,3.74926309193134e-06,0.3155959299543763,28.6986396295852
dp268,5.638181230489928e-07,1.0598826128187602,61.16614726338656
